"","subid","condition","trial.num","item","sent.type","truth","resp","agegroup"
"74","021615-09","target",14,"apple","negative","False",4,"3"
"75","021615-09","target",11,"cookie","negative","True",4,"3"
"76","021615-09","target",6,"boat","negative","True",4,"3"
"77","021615-09","target",1,"bus","negative","False",1,"3"
"78","021615-09","target",9,"horse","positive","False",1,"3"
"79","021615-09","target",10,"spoon","positive","False",2,"3"
"80","021615-09","target",5,"banana","positive","True",5,"3"
"81","021615-10","none",12,"cat","negative","False",1,"4"
"82","021615-10","none",7,"orange","negative","True",1,"4"
"83","021615-10","none",11,"truck","positive","True",5,"4"
"84","021615-10","none",5,"apple","negative","True",1,"4"
"85","021615-10","none",14,"boat","negative","True",1,"4"
"86","021615-10","none",13,"cow","positive","False",1,"4"
"87","021615-10","none",8,"spoon","negative","True",1,"4"
"88","021615-10","none",10,"banana","negative","True",1,"4"
"89","021615-10","none",9,"dog","positive","True",5,"4"
"90","021615-10","none",15,"plate","negative","True",1,"4"
"91","021615-10","none",16,"cookie","negative","True",1,"4"
"92","021615-10","none",4,"fork","positive","True",5,"4"
"93","021615-10","none",3,"horse","negative","True",1,"4"
"94","021615-10","none",1,"car","positive","True",5,"4"
"95","021615-10","none",6,"bowl","positive","False",1,"4"
"96","021615-10","none",2,"bus","negative","False",1,"4"
"97","021615-12","target",1,"cow","negative","True",5,"4"
"98","021615-12","target",11,"dog","negative","False",1,"4"
"99","021615-12","target",12,"orange","positive","True",5,"4"
"100","021615-12","target",2,"boat","negative","True",5,"4"
"101","021615-12","target",6,"banana","positive","False",1,"4"
"102","021615-12","target",16,"apple","negative","True",5,"4"
"103","021615-12","target",10,"fork","positive","True",5,"4"
"104","021615-12","target",8,"car","negative","False",1,"4"
"105","021615-12","target",5,"spoon","negative","True",5,"4"
"106","021615-12","target",15,"cat","positive","False",1,"4"
"107","021615-12","target",9,"truck","positive","True",5,"4"
"108","021615-12","target",14,"plate","negative","True",5,"4"
"109","021615-12","target",7,"bus","negative","True",5,"4"
"110","021615-12","target",3,"cookie","negative","True",5,"4"
"111","021615-12","target",4,"horse","positive","True",5,"4"
"112","021615-12","target",13,"bowl","negative","True",5,"4"
"113","022715-03","none",4,"plate","negative","True",4,"4"
"114","022715-03","none",11,"car","negative","False",1,"4"
"115","022715-03","none",16,"truck","negative","True",2,"4"
"116","022715-03","none",2,"cat","negative","True",1,"4"
"117","022715-03","none",10,"fork","negative","True",1,"4"
"118","022715-03","none",9,"bus","positive","True",5,"4"
"119","022715-03","none",13,"apple","negative","True",1,"4"
"120","022715-03","none",5,"orange","positive","True",5,"4"
"121","022715-03","none",3,"boat","positive","False",2,"4"
"122","022715-03","none",8,"banana","positive","False",1,"4"
"123","022715-03","none",14,"horse","positive","True",5,"4"
"124","022715-03","none",1,"cookie","negative","True",1,"4"
"125","022715-03","none",12,"spoon","positive","True",5,"4"
"126","022715-03","none",15,"cow","negative","True",1,"4"
"127","022715-03","none",6,"dog","negative","True",1,"4"
"128","022715-03","none",7,"bowl","negative","False",1,"4"
"129","022715-04","target",8,"horse","positive","False",5,"4"
"130","022715-04","target",7,"spoon","negative","True",2,"4"
"131","022715-04","target",5,"plate","positive","True",4,"4"
"132","022715-04","target",13,"bus","negative","True",5,"4"
"133","022715-04","target",11,"apple","negative","True",1,"4"
"134","022715-04","target",10,"cow","positive","True",5,"4"
"135","022715-04","target",1,"car","negative","True",2,"4"
"136","022715-04","target",4,"banana","positive","True",2,"4"
"137","022715-04","target",14,"truck","positive","True",2,"4"
"138","022715-04","target",12,"dog","negative","False",1,"4"
"139","022715-04","target",6,"cookie","negative","True",2,"4"
"140","022715-04","target",9,"bowl","positive","False",1,"4"
"141","022715-04","target",15,"cat","negative","True",5,"4"
"142","022715-04","target",3,"boat","negative","False",5,"4"
"143","022715-04","target",16,"fork","negative","True",5,"4"
"144","022715-04","target",2,"orange","negative","True",2,"4"
"145","022715-07","target",3,"cookie","negative","True",4,"3"
"146","022715-07","target",12,"orange","negative","True",1,"3"
"147","022715-07","target",16,"cow","negative","True",2,"3"
"148","022715-07","target",13,"boat","negative","True",1,"3"
"149","022715-07","target",11,"banana","positive","False",2,"3"
"150","022715-07","target",5,"cat","negative","False",2,"3"
"151","022715-07","target",15,"bowl","negative","True",2,"3"
"152","022715-07","target",4,"car","positive","True",2,"3"
"153","022715-07","target",7,"bus","positive","True",2,"3"
"154","022715-07","target",10,"fork","negative","False",2,"3"
"155","022715-07","target",1,"dog","positive","True",2,"3"
"156","022715-07","target",14,"truck","negative","True",4,"3"
"157","022715-07","target",2,"apple","positive","False",2,"3"
"158","022715-07","target",8,"spoon","negative","True",2,"3"
"159","022715-07","target",9,"plate","positive","True",1,"3"
"160","022715-07","target",6,"horse","negative","True",4,"3"
"161","022715-09","target",4,"fork","negative","True",5,"3"
"162","022715-09","target",1,"apple","negative","True",5,"3"
"163","022715-09","target",8,"banana","positive","True",4,"3"
"164","022715-09","target",7,"dog","negative","True",3,"3"
"165","022715-09","target",10,"orange","negative","True",3,"3"
"166","022715-09","target",11,"bus","positive","True",5,"3"
"167","022715-09","target",5,"cookie","positive","False",5,"3"
"168","022715-09","target",9,"horse","positive","True",1,"3"
"169","022715-09","target",6,"cat","positive","True",3,"3"
"170","022715-09","target",2,"bowl","negative","True",5,"3"
"171","022715-09","target",12,"spoon","negative","True",2,"3"
"172","030515-01","target",4,"truck","positive","True",5,"4"
"173","030515-01","target",7,"car","negative","True",5,"4"
"174","030515-01","target",1,"horse","negative","True",5,"4"
"175","030515-01","target",2,"dog","negative","True",5,"4"
"176","030515-01","target",6,"bus","positive","True",5,"4"
"177","030515-01","target",5,"cat","negative","False",1,"4"
"178","030515-01","target",8,"boat","negative","True",5,"4"
"179","030515-01","target",3,"fork","positive","False",1,"4"
"180","030515-02","none",9,"cat","positive","True",1,"4"
"181","030515-02","none",8,"banana","negative","True",1,"4"
"182","030515-02","none",6,"cow","negative","True",1,"4"
"183","030515-02","none",5,"truck","negative","True",1,"4"
"184","030515-02","none",4,"plate","positive","False",1,"4"
"185","030515-02","none",7,"horse","negative","True",1,"4"
"186","030515-02","none",10,"apple","positive","False",1,"4"
"187","030515-02","none",12,"boat","positive","True",5,"4"
"188","030515-02","none",3,"spoon","negative","True",1,"4"
"189","030515-02","none",2,"car","positive","True",5,"4"
"190","030515-02","none",16,"dog","negative","True",3,"4"
"191","030515-02","none",11,"fork","negative","False",3,"4"
"192","030515-02","none",13,"orange","negative","True",1,"4"
"193","030515-02","none",1,"bowl","negative","True",1,"4"
"194","030515-02","none",15,"bus","positive","True",5,"4"
"195","030515-02","none",14,"cookie","negative","False",3,"4"
"196","030515-04","none",10,"horse","positive","True",5,"4"
"197","030515-04","none",11,"car","positive","True",5,"4"
"198","030515-04","none",1,"fork","negative","True",3,"4"
"199","030515-04","none",13,"orange","positive","False",2,"4"
"200","030515-04","none",12,"banana","negative","True",5,"4"
"201","030515-04","none",2,"cat","negative","True",3,"4"
"202","030515-04","none",9,"spoon","negative","False",2,"4"
"203","030515-04","none",8,"dog","positive","True",5,"4"
"204","030515-04","none",5,"bus","positive","False",2,"4"
"205","030515-04","none",3,"apple","negative","True",3,"4"
"206","030515-04","none",15,"cow","negative","False",2,"4"
"207","030515-04","none",7,"cookie","positive","True",5,"4"
"208","030515-04","none",4,"boat","negative","True",3,"4"
"209","030515-04","none",14,"bowl","negative","True",5,"4"
"210","030515-04","none",6,"plate","negative","True",5,"4"
"211","030515-04","none",16,"truck","negative","True",5,"4"
"212","030515-05","target",10,"truck","negative","True",3,"3"
"213","030515-05","target",9,"bus","negative","True",4,"3"
"214","030515-05","target",7,"spoon","positive","False",1,"3"
"215","030515-05","target",5,"fork","negative","True",5,"3"
"216","030515-05","target",4,"bowl","negative","True",5,"3"
"217","030515-05","target",8,"orange","negative","True",5,"3"
"218","030515-05","target",6,"apple","positive","True",5,"3"
"219","030515-05","target",16,"car","positive","True",3,"3"
"220","030515-05","target",11,"cat","positive","True",5,"3"
"221","030515-05","target",3,"horse","negative","True",5,"3"
"222","030515-05","target",14,"boat","negative","False",3,"3"
"223","030515-05","target",15,"dog","negative","True",1,"3"
"224","030515-05","target",13,"banana","positive","True",3,"3"
"225","030515-05","target",2,"cookie","positive","False",1,"3"
"226","030515-05","target",12,"plate","negative","True",3,"3"
"227","030515-05","target",1,"cow","negative","False",2,"3"
"228","030515-06","none",4,"orange","positive","True",5,"4"
"229","030515-06","none",3,"bus","negative","True",5,"4"
"230","030515-06","none",1,"apple","positive","False",1,"4"
"231","030515-06","none",13,"banana","negative","False",2,"4"
"232","030515-06","none",2,"cookie","positive","False",2,"4"
"233","030515-06","none",16,"dog","negative","True",4,"4"
"234","030515-06","none",11,"spoon","positive","True",5,"4"
"235","030515-06","none",5,"plate","negative","False",2,"4"
"236","030515-06","none",14,"boat","positive","True",5,"4"
"237","030515-06","none",15,"cow","negative","True",3,"4"
"238","030515-06","none",12,"car","negative","True",5,"4"
"239","030515-06","none",9,"bowl","negative","True",5,"4"
"240","030515-06","none",6,"fork","negative","True",5,"4"
"241","030515-06","none",7,"truck","negative","True",5,"4"
"242","030515-06","none",10,"cat","positive","True",5,"4"
"243","030515-06","none",8,"horse","negative","True",5,"4"
"244","030515-08","none",5,"car","positive","False",1,"4"
"245","030515-08","none",4,"fork","positive","True",2,"4"
"246","030515-08","none",2,"spoon","negative","False",4,"4"
"247","030515-08","none",15,"truck","negative","True",1,"4"
"248","030515-08","none",16,"orange","positive","True",2,"4"
"249","030515-08","none",3,"bowl","positive","True",3,"4"
"250","030515-08","none",6,"boat","negative","True",5,"4"
"251","030515-08","none",14,"cookie","negative","True",5,"4"
"252","030515-08","none",13,"dog","positive","True",4,"4"
"253","030515-08","none",1,"horse","positive","False",1,"4"
"254","030515-08","none",12,"cat","negative","False",2,"4"
"255","030515-08","none",7,"bus","negative","True",1,"4"
"256","030515-08","none",10,"banana","negative","True",1,"4"
"257","030515-08","none",11,"plate","negative","True",4,"4"
"258","030515-08","none",9,"apple","negative","True",4,"4"
"259","030515-08","none",8,"cow","negative","True",1,"4"
"260","030615-02","target",13,"truck","positive","True",4,"4"
"261","030615-02","target",6,"orange","positive","False",1,"4"
"262","030615-02","target",5,"car","negative","False",1,"4"
"263","030615-02","target",4,"boat","negative","True",4,"4"
"264","030615-02","target",12,"bus","negative","True",4,"4"
"265","030615-02","target",11,"spoon","negative","False",1,"4"
"266","030615-02","target",15,"horse","positive","True",4,"4"
"267","030615-02","target",2,"bowl","negative","True",1,"4"
"268","030615-02","target",9,"dog","negative","True",4,"4"
"269","030615-02","target",14,"plate","negative","True",4,"4"
"270","030615-02","target",3,"cat","positive","False",1,"4"
"271","030615-02","target",8,"apple","negative","True",4,"4"
"272","030615-02","target",7,"banana","positive","True",4,"4"
"273","030615-02","target",10,"fork","positive","True",4,"4"
"274","030615-02","target",1,"cow","negative","True",2,"4"
"275","030615-02","target",16,"cookie","negative","True",1,"4"
"276","030615-03","none",11,"horse","negative","False",1,"3"
"277","030615-03","none",9,"bowl","positive","True",5,"3"
"278","030615-03","none",16,"cookie","positive","False",1,"3"
"279","030615-03","none",3,"boat","positive","False",2,"3"
"280","030615-03","none",2,"banana","positive","True",5,"3"
"281","030615-03","none",7,"fork","negative","True",4,"3"
"282","030615-03","none",8,"car","positive","True",5,"3"
"283","030615-03","none",10,"truck","negative","True",4,"3"
"284","030615-03","none",5,"dog","negative","True",4,"3"
"285","030615-03","none",14,"plate","negative","True",3,"3"
"286","030615-03","none",6,"bus","negative","True",4,"3"
"287","030615-03","none",1,"cat","positive","True",5,"3"
"288","030615-03","none",12,"cow","negative","True",4,"3"
"289","030615-03","none",15,"apple","negative","False",2,"3"
"290","030615-03","none",4,"orange","negative","True",4,"3"
"291","030615-03","none",13,"spoon","negative","True",4,"3"
"292","030615-04","target",5,"orange","positive","False",5,"3"
"293","030615-04","target",6,"banana","negative","True",1,"3"
"294","030615-04","target",3,"horse","negative","True",2,"3"
"295","030615-04","target",4,"dog","negative","True",2,"3"
"296","030615-04","target",1,"plate","positive","False",1,"3"
"297","030615-04","target",2,"truck","positive","True",5,"3"
"298","030615-05","target",6,"spoon","negative","False",4,"3"
"299","030615-05","target",11,"apple","negative","True",2,"3"
"300","030615-05","target",10,"bowl","positive","False",2,"3"
"301","030615-05","target",8,"car","positive","True",4,"3"
"302","030615-05","target",5,"dog","negative","True",2,"3"
"303","030615-05","target",3,"orange","negative","True",1,"3"
"304","030615-05","target",9,"banana","positive","False",2,"3"
"305","030615-05","target",12,"bus","positive","True",4,"3"
"306","030615-05","target",2,"cat","positive","True",4,"3"
"307","030615-05","target",15,"truck","negative","True",2,"3"
"308","030615-05","target",1,"horse","negative","True",2,"3"
"309","030615-05","target",7,"plate","negative","True",2,"3"
"310","030615-05","target",14,"cookie","negative","True",1,"3"
"311","030615-05","target",13,"cow","positive","True",5,"3"
"312","030615-05","target",16,"fork","negative","True",2,"3"
"313","030615-05","target",4,"boat","negative","False",4,"3"
"314","030615-06","none",13,"horse","negative","True",5,"4"
"315","030615-06","none",7,"car","positive","True",5,"4"
"316","030615-06","none",4,"cat","positive","True",5,"4"
"317","030615-06","none",3,"cow","positive","False",1,"4"
"318","030615-06","none",5,"cookie","negative","True",5,"4"
"319","030615-06","none",6,"orange","negative","True",5,"4"
"320","030615-06","none",8,"bus","negative","False",2,"4"
"321","030615-06","none",12,"fork","positive","False",2,"4"
"322","030615-06","none",1,"bowl","negative","True",2,"4"
"323","030615-06","none",2,"apple","negative","True",1,"4"
"324","030615-06","none",16,"banana","negative","False",2,"4"
"325","030615-06","none",14,"dog","positive","True",5,"4"
"326","030615-06","none",11,"boat","negative","True",5,"4"
"327","030615-06","none",15,"plate","negative","True",5,"4"
"328","030615-06","none",10,"truck","negative","True",5,"4"
"329","030615-06","none",9,"spoon","positive","True",5,"4"
"330","030615-08","target",7,"dog","negative","True",1,"4"
"331","030615-08","target",2,"cookie","positive","True",5,"4"
"332","030615-08","target",9,"car","positive","True",5,"4"
"333","030615-08","target",6,"bowl","negative","True",1,"4"
"334","030615-08","target",5,"cat","positive","False",1,"4"
"335","030615-08","target",3,"bus","negative","True",1,"4"
"336","030615-08","target",8,"apple","negative","True",1,"4"
"337","030615-08","target",10,"plate","negative","True",1,"4"
"338","030615-08","target",11,"horse","negative","False",2,"4"
"339","030615-08","target",16,"cow","negative","True",2,"4"
"340","030615-08","target",4,"truck","positive","True",5,"4"
"341","030615-08","target",15,"spoon","negative","True",2,"4"
"342","030615-08","target",1,"boat","positive","True",5,"4"
"343","030615-08","target",14,"fork","negative","False",2,"4"
"344","030615-08","target",12,"banana","positive","False",1,"4"
"345","030615-08","target",13,"orange","negative","True",2,"4"
"346","030815-01","none",3,"cookie","negative","True",1,"4"
"347","030815-01","none",2,"banana","negative","True",1,"4"
"348","030815-01","none",16,"bowl","negative","True",1,"4"
"349","030815-01","none",6,"cat","negative","True",1,"4"
"350","030815-01","none",8,"orange","negative","True",1,"4"
"351","030815-01","none",7,"bus","positive","True",5,"4"
"352","030815-01","none",1,"boat","positive","True",5,"4"
"353","030815-01","none",4,"plate","positive","False",1,"4"
"354","030815-01","none",5,"fork","negative","False",1,"4"
"355","030815-01","none",10,"horse","negative","True",1,"4"
"356","030815-01","none",12,"dog","positive","False",1,"4"
"357","030815-01","none",13,"car","negative","True",1,"4"
"358","030815-01","none",9,"truck","negative","False",1,"4"
"359","030815-01","none",15,"spoon","positive","True",5,"4"
"360","030815-01","none",14,"apple","positive","True",5,"4"
"361","030815-01","none",11,"cow","negative","True",1,"4"
"362","030815-03","target",3,"car","positive","True",5,"3"
"363","030815-03","target",14,"banana","positive","True",5,"3"
"364","030815-03","target",13,"plate","positive","True",5,"3"
"365","030815-03","target",9,"bowl","negative","True",5,"3"
"366","030815-03","target",12,"cat","negative","True",2,"3"
"367","030815-03","target",2,"fork","positive","True",5,"3"
"368","030815-03","target",8,"bus","negative","False",5,"3"
"369","030815-03","target",1,"horse","negative","True",3,"3"
"370","030815-03","target",6,"apple","negative","True",5,"3"
"371","030815-03","target",15,"cookie","negative","True",5,"3"
"372","030815-03","target",16,"dog","negative","True",5,"3"
"373","030815-03","target",7,"spoon","negative","True",5,"3"
"374","030815-03","target",5,"cow","positive","False",5,"3"
"375","030815-03","target",10,"truck","negative","False",4,"3"
"376","030815-03","target",11,"boat","positive","False",2,"3"
"377","030815-03","target",4,"orange","negative","True",5,"3"
"378","030815-04","target",16,"horse","negative","False",2,"4"
"379","030815-04","target",6,"spoon","negative","True",5,"4"
"380","030815-04","target",9,"cow","negative","True",5,"4"
"381","030815-04","target",14,"cat","negative","True",5,"4"
"382","030815-04","target",8,"car","negative","True",2,"4"
"383","030815-04","target",15,"truck","negative","False",2,"4"
"384","030815-04","target",2,"bus","positive","True",5,"4"
"385","030815-04","target",12,"orange","negative","True",2,"4"
"386","030815-04","target",1,"bowl","positive","False",3,"4"
"387","030815-04","target",7,"dog","positive","True",5,"4"
"388","030815-04","target",11,"apple","negative","True",2,"4"
"389","030815-04","target",3,"boat","positive","True",4,"4"
"390","030815-04","target",13,"banana","negative","True",2,"4"
"391","030815-04","target",10,"fork","positive","True",2,"4"
"392","030815-04","target",5,"plate","negative","True",3,"4"
"393","030815-04","target",4,"cookie","positive","False",3,"4"
"394","030815-05","target",14,"apple","negative","True",5,"4"
"395","030815-05","target",1,"dog","positive","False",2,"4"
"396","030815-05","target",12,"cookie","negative","True",5,"4"
"397","030815-05","target",9,"cat","negative","False",2,"4"
"398","030815-05","target",7,"bus","negative","True",5,"4"
"399","030815-05","target",11,"spoon","positive","True",5,"4"
"400","030815-05","target",10,"plate","negative","True",5,"4"
"401","030815-05","target",5,"fork","negative","False",2,"4"
"402","030815-05","target",3,"banana","positive","True",5,"4"
"403","030815-05","target",2,"bowl","negative","True",5,"4"
"404","030815-05","target",6,"car","negative","True",5,"4"
"405","030815-05","target",16,"orange","positive","True",5,"4"
"406","030815-05","target",15,"truck","negative","True",5,"4"
"407","030815-05","target",13,"horse","negative","True",5,"4"
"408","030815-05","target",8,"cow","positive","False",2,"4"
"409","030815-05","target",4,"boat","positive","True",5,"4"
"410","030815-06","none",9,"bowl","positive","True",5,"3"
"411","030815-06","none",15,"orange","negative","True",3,"3"
"412","030815-06","none",7,"spoon","negative","True",3,"3"
"413","030815-06","none",16,"cow","negative","True",3,"3"
"414","030815-06","none",8,"horse","negative","True",3,"3"
"415","030815-06","none",4,"plate","negative","True",3,"3"
"416","030815-06","none",14,"banana","positive","False",2,"3"
"417","030815-06","none",3,"dog","negative","False",3,"3"
"418","030815-06","none",10,"bus","negative","True",3,"3"
"419","030815-06","none",1,"boat","positive","True",5,"3"
"420","030815-06","none",5,"apple","negative","True",3,"3"
"421","030815-06","none",6,"truck","positive","False",2,"3"
"422","030815-06","none",2,"cookie","negative","True",3,"3"
"423","030815-06","none",13,"cat","positive","True",5,"3"
"424","030815-06","none",11,"fork","negative","False",3,"3"
"425","030815-06","none",12,"car","positive","True",5,"3"
"426","030815-07","target",5,"plate","negative","True",3,"4"
"427","030815-07","target",16,"car","negative","True",3,"4"
"428","030815-07","target",14,"spoon","negative","False",3,"4"
"429","030815-07","target",15,"dog","positive","True",2,"4"
"430","030815-07","target",4,"bowl","negative","True",3,"4"
"431","030815-07","target",6,"cookie","positive","True",4,"4"
"432","030815-07","target",3,"boat","negative","True",3,"4"
"433","030815-07","target",12,"apple","negative","True",3,"4"
"434","030815-07","target",10,"cat","negative","True",3,"4"
"435","030815-07","target",2,"orange","positive","False",2,"4"
"436","030815-07","target",9,"horse","positive","True",5,"4"
"437","030815-07","target",13,"truck","negative","True",3,"4"
"438","030815-07","target",11,"fork","negative","False",1,"4"
"439","030815-07","target",1,"cow","positive","False",1,"4"
"440","030815-07","target",8,"banana","positive","True",4,"4"
"441","030815-07","target",7,"bus","negative","True",3,"4"
"442","030815-10","none",2,"apple","negative","True",2,"4"
"443","030815-10","none",16,"horse","negative","True",2,"4"
"444","030815-10","none",1,"truck","negative","True",1,"4"
"445","030815-10","none",11,"bowl","negative","False",1,"4"
"446","030815-10","none",10,"fork","negative","True",1,"4"
"447","030815-10","none",4,"bus","negative","True",2,"4"
"448","030815-10","none",15,"cookie","negative","True",2,"4"
"449","030815-10","none",3,"spoon","negative","True",2,"4"
"450","030815-10","none",9,"cow","positive","False",1,"4"
"451","030815-10","none",14,"orange","positive","True",5,"4"
"452","030815-10","none",12,"dog","negative","False",2,"4"
"453","030815-10","none",7,"plate","negative","True",1,"4"
"454","030815-10","none",6,"banana","positive","False",1,"4"
"455","030815-10","none",13,"boat","positive","True",5,"4"
"456","030815-10","none",8,"cat","positive","True",4,"4"
"457","030815-10","none",5,"car","positive","True",4,"4"
"458","031215-03","target",2,"plate","negative","True",2,"4"
"459","031215-03","target",1,"bowl","negative","False",2,"4"
"460","031215-03","target",10,"banana","negative","False",1,"4"
"461","031215-03","target",11,"cookie","positive","True",5,"4"
"462","031215-03","target",12,"spoon","positive","True",5,"4"
"463","031215-03","target",3,"horse","negative","True",5,"4"
"464","031215-03","target",9,"dog","positive","False",1,"4"
"465","031215-03","target",7,"car","negative","True",5,"4"
"466","031215-03","target",16,"cat","negative","True",5,"4"
"467","031215-03","target",6,"bus","negative","True",5,"4"
"468","031215-03","target",8,"orange","negative","True",5,"4"
"469","031215-03","target",14,"apple","negative","True",5,"4"
"470","031215-03","target",5,"cow","positive","False",1,"4"
"471","031215-03","target",13,"truck","positive","True",5,"4"
"472","031215-03","target",4,"boat","positive","True",5,"4"
"473","031215-03","target",15,"fork","negative","True",5,"4"
"474","031215-04","none",4,"truck","negative","True",1,"4"
"475","031215-04","none",8,"plate","positive","False",1,"4"
"476","031215-04","none",15,"dog","negative","True",1,"4"
"477","031215-04","none",3,"car","negative","True",1,"4"
"478","031215-04","none",10,"boat","positive","True",5,"4"
"479","031215-04","none",2,"bus","negative","True",1,"4"
"480","031215-04","none",7,"orange","negative","True",1,"4"
"481","031215-04","none",14,"fork","positive","True",5,"4"
"482","031215-04","none",1,"cow","positive","False",1,"4"
"483","031215-04","none",16,"banana","positive","True",5,"4"
"484","031215-04","none",5,"spoon","negative","True",1,"4"
"485","031215-04","none",11,"cat","negative","False",1,"4"
"486","031215-04","none",6,"apple","negative","True",1,"4"
"487","031215-04","none",12,"bowl","positive","True",1,"4"
"488","031215-04","none",9,"cookie","negative","True",1,"4"
"489","031215-04","none",13,"horse","negative","False",1,"4"
"490","031315-01","none",10,"apple","negative","False",1,"3"
"491","031315-01","none",3,"cow","negative","True",5,"3"
"492","031315-01","none",2,"cat","negative","True",5,"3"
"493","031315-01","none",7,"orange","negative","False",1,"3"
"494","031315-01","none",1,"bus","positive","True",5,"3"
"495","031315-01","none",9,"fork","negative","True",5,"3"
"496","031315-01","none",11,"plate","positive","True",5,"3"
"497","031315-01","none",15,"truck","negative","True",5,"3"
"498","031315-01","none",8,"banana","positive","True",5,"3"
"499","031315-01","none",14,"boat","negative","True",5,"3"
"500","031315-01","none",5,"bowl","positive","True",5,"3"
"501","031315-01","none",16,"car","negative","True",5,"3"
"502","031315-01","none",13,"horse","negative","True",5,"3"
"503","031315-01","none",6,"cookie","negative","True",1,"3"
"504","031315-01","none",4,"dog","positive","False",1,"3"
"505","031315-01","none",12,"spoon","positive","False",5,"3"
"506","031315-03","none",8,"cookie","negative","False",1,"3"
"507","031315-03","none",6,"horse","positive","True",5,"3"
"508","031315-03","none",5,"car","negative","True",1,"3"
"509","031315-03","none",13,"truck","positive","True",5,"3"
"510","031315-03","none",15,"cow","positive","False",2,"3"
"511","031315-03","none",4,"cat","negative","True",1,"3"
"512","031315-03","none",3,"boat","negative","True",1,"3"
"513","031315-03","none",16,"bus","negative","True",1,"3"
